State,Abbrev,Registration Count
Alabama,AL,2890
Alaska,AK,940
Arizona,AZ,28770
Arkansas,AR,1330
California,CA,425300
Colorado,CO,24670
Connecticut,CT,9040
Delaware,DE,1950
District of Columbia,DC,2360
Florida,FL,58160
Georgia,GA,23530
Hawaii,HI,10670
Idaho,ID,2300
Illinois,IL,26000
Indiana,IN,6990
Iowa,IA,2260
Kansas,KS,3130
Kentucky,KY,2650
Louisiana,LA,1950
Maine,ME,1920
Maryland,MD,17970
Massachusetts,MA,21010
Michigan,MI,10620
Minnesota,MN,10380
Mississippi,MS,780
Missouri,MO,6740
Montana,MT,940
Nebraska,NE,1810
Nevada,NV,11040
New Hampshire,NH,2690
New Jersey,NJ,30420
New Mexico,NM,2620
New York,NY,32590
North Carolina,NC,16190
North Dakota,ND,220
Ohio,OH,14530
Oklahoma,OK,3410
Oregon,OR,22850
Pennsylvania,PA,17530
Rhode Island,RI,1580
South Carolina,SC,4390
South Dakota,SD,410
Tennessee,TN,7810
Texas,TX,52190
Utah,UT,11230
Vermont,VT,2230
Virginia,VA,20510
Washington,WA,50520
West Virginia,WV,600
Wisconsin,WI,6310
Wyoming,WY,330